Timestamp,1. What year are you in ,2. What course are you studying,3. Do you prefer studying using online or in person classes,4. Has your experience with the current online platform been enjoyable ,5. What platform would you choose if the school decided not to use Hybeflex,"5.1 If other is chosen, in Question 5, please specify name of platform ","5.2. What makes you enjoy this specific platform, chosen in Question 5, compared to Hybeflex",6. Do you feel that lecturers interact enough with the online students,7. What do you like about the current existing system,8. What do you dislike about the current existing system,9. Do you have any suggestions for the existing system
5/7/2023 19:58:47,Year 3,Bachelor of computing,Online,TRUE,"Teams, Zoom",,Better connections ,TRUE,It leaves recordings which helps in doing revision,The network keeps on breaking,It should improve on the connection
5/7/2023 19:59:19,Year 3,Bachelor of computing,Online,TRUE,"Teams, Zoom",,It's a lot less trouble ,TRUE,It's okay there isn't anything I particularly like,We don't have access to recorded lessons ,Bring back the recorded lessons and fix hyberflex bugs
5/7/2023 20:08:52,Year 3,Bachelor of computing,Online,TRUE,Zoom,,I don't get any permissions errors and Cameras dont randomly switch off,FALSE,The Convenience of accessing work and groups from anywhere using teams.,Slow reaponses from lectures,N/A
5/7/2023 20:11:55,Year 3,Bachelor of computing,Online,FALSE,Teams,,The platform works seamlessly and without issues ,FALSE,Nothing . It is extremely flawed,"Poor stream quality , lectures often have many issues regarding connection",No
5/7/2023 20:16:30,Year 3,Bachelor of computing,Online,TRUE,"Teams, Zoom",,Less shit,TRUE,I feel neutral ,"Bad quality stream, ugly design ",Fix the ui
5/7/2023 20:19:48,Year 3,Bachelor of computing,Online,TRUE,Teams,,"Centralised place to communicate, meet and share files. Also incorporates with other office applications.",FALSE,Able to communicate via the chat on Hybeflex as well as raise your hand to speak over voice chat. Simple to understand and use in terms of UI. The stream works well and does not stutter. ,"Can't set the quality of the stream, it can be difficult to follow along on screen.  Lecturers sometimes do not respond to the chat. Personally hybeflex seems to be CPU intensive. The ability to record classes have been removed.","A slow mode of sort for the chat to help lecturers manage the chat. Perhaps you can label your message as a question and it's highlighted in the chat. Being able to share graphs or images/files in the chat. Lastly, I'd like to see class recordings return."
5/7/2023 20:21:03,Year 3,Bachelor of computing,Online,TRUE,Teams,,"Teams have had a tremendous amount of updates in the past few years, even updates still coming up that improves the experience a lot. It also provides integration with certain 3rd party applications and I believe BC can create such application plug ins (if you perhaps want to call it that) to better tailor the experience as compared to the hosting problems sometimes experienced on Hybeflex",TRUE,"I like the current way of using the student portal to access class. Before, accessing the student portal wasn't as big of a necessity to use and was mostly used for checking marks on my end","Communication, I can sometimes feel a bit disconnected from the campus (I'm an online student). 
Sometimes the communication is through email and sometimes through teams and deadlines provided in communication is sometimes not that forgiving. 
For example if you missed an email about filling out a form, you will probably hear from someone complaining that they missed their's as well and that the deadline has already passed","Perhaps a team group for all the students that are in the same year as you. This might help talking to each other about deadlines of certain events/forms. The whatsapp group for each years' group works well, but it is a bit disconnected from the MS Teams platform"
5/7/2023 20:30:09,Year 3,Bachelor of computing,In person,FALSE,Teams,,"It works, the server doesn’t go down in teams like it does in hybeflex ",FALSE,Hybeflex is okay there nothing i particularly like ,It doesn’t work sometimes e.g. we could have class the other day for 2 hours cause the lector kept connecting but we couldn’t hear or see him,It still needs work as it doesn’t work sometimes 
5/7/2023 20:33:57,Year 3,Bachelor of computing,Online,FALSE,"Teams, Discord",,"Discord is more convenient and easier to share information.
Teams always works and easy to share recordings and class material",FALSE,Beings able to view class and lecturer the same time feels like you are part of the physical class,Streaming quality,Increase bit-rate of the stream. 
5/7/2023 20:49:37,Year 3,Bachelor of computing,Online,FALSE,Discord,,The addition of chat history would help.,FALSE,,,
5/7/2023 21:32:41,Year 3,Bachelor of computing,Online,FALSE,"Teams, Discord",,None selected ,TRUE,It makes it easier to study since I live far from campus. It saves my family a lot of money.,"I feel that students are sometimes treated unfairly, but this can vary.",Proof of proofreading on the exams. Some exams are blatantly not proofread and there is no name of a person who proofread exams on the paper.
5/7/2023 23:49:15,Year 3,Bachelor of computing,Online,TRUE,Teams,,Teams has everything we need and is better than hybeflex for me.,FALSE,It is usable enough but could be better.,Nothing.,No
5/8/2023 1:46:47,Year 3,Bachelor of Information Technology,In person,FALSE,Discord,,Easy to use and I would like to hope there are recordings,TRUE,some of the lecturers are pretty cool,"poor communication, school desktops, over-priced tuckshop and why would they remove recordings - I mean I understand why to some degree but it seems like a loss more than a win here",keep communication consistent and bring back recordings
5/8/2023 6:00:22,Year 3,Bachelor of computing,In person,FALSE,Zoom,,"Zoom is much more fluid, and has less bugs and problems in comparison to Hybeflex. Sure, Hybeflex is nice but it glitches out or breaks, and sometimes the audio does not work or the video does not work and the lecturer has to restart the PC all over again which is just an absolute waste of valuable time, whereas, with Zoom these problems are less common. So I would choose Zoom over Hybeflex anyday.",TRUE,"It is not that bad actually, I quite like it. What do I like though? I can’t be specific about something, but yeah, it is decent. Lecturers give attention to your questions enough, and if I as a student do not understand what the lecturer is saying the lecturer remains patient with me and explains whatever I’m struggling with again so yeah.",There’s not much to complain about so no comments here.,"The campus should still try and stick to giving physical class to all physical students, what I mean is, I’m a physical student and I’m currently busy with the Business Intelligence stream, but the class schedule for the rest of the year for me is showing that its online. When I asked Mr Welgemoed about this, he mentioned that the reason I’m online is because the Business Intelligence stream has lower demand in comparison to the Software Engineering stream and they have more to students to accommodate, hence, they have physical classes for the rest of the year, whereas, we as BI students don’t as we are not that many, 

So my suggestion would be to still pay attention to physical students like us who took BI and make some arrangements for us to accommodate us in a physical class as well. "
5/8/2023 8:58:25,Year 3,Bachelor of computing,Online,FALSE,"Teams, Microsoft Classrooms, ","Canvas, Google Meet","All the platforms chosen and mentioned in 5 are easy to use, aesthetic, more stable, more optimised and less resource heavy. Hybeflex has an average of 20% CPU utilisation when open, while other applications, not web apps, desktop applications like teams averages 10% on idle and around 15% while in a meeting which is much better than hybeflex which runs in a browser tab. ",FALSE,"There is not much to like, the diffrent camera streams is nice, like being able to switch between the screen, the leacturer and the class view in classes that support that. The quick access emojis with chat is also nice and the private messages towards the lecturer while you stay in the same room is also nice. That is where the nice things end though","The lack of optimisation, The instability, The lack of user friendliness, The lack of customizability (light or dark mode, accent colous etc.)","If they could optimise the existing system it wiuld already be a great improvement.  The addition of being able to pop out the chat while you are viewing a stream in full screen would be nice so you could look at chat as well as full screen of the stream. They can also improve stream quality, as even with good decent wifi (200mb/s upload and download fiber) it is sometimes hard get proper quality out of the stream and when queried most lecturers indocated that the wifi was fine on their side and that they thought it was the platform itself. "
5/8/2023 9:14:33,Year 3,Bachelor of computing,Online,FALSE,Zoom,,"The UI is better, student interaction is smoother. More reliable to turn on cameras in test times.",TRUE,Lecturers can easily share files and links via teams,They removed recordings in a time with daily load shedding and online students feel like an afterthought with events like career day and the mandatory seminars that work towards INL marks.,"They should prioritize the online experience with the same effort and planning as face-to-face, because online students pay exactly the same amount and their experience is worse with events such as career days."
5/8/2023 9:35:48,Year 3,Bachelor of computing,Online,TRUE,Teams,,Ease of use,TRUE,Ease of use and functionality given,No recordings given,Be able to privately record session
5/8/2023 10:31:32,Year 3,Bachelor of computing,Online,TRUE,Zoom,,I wouldn't need to go to my schedule each day to get into the class,TRUE,The public and private chat,The fact that there aren't any recordings,Please make recordings available again
5/8/2023 14:33:36,Year 3,Bachelor of computing,Online,FALSE,"Discord, Zoom",,"Ease of use, familiarity, Problems that arise are solved extremely quickly and efficiently.",FALSE,The amount of independence I have as a student.,The quality of some lectures & the inability for some lectures to respond to questions in a timely manner.,Provide a masterclass / workshop to the lecturers explaining how to use the current system. Set stricter consequences for lecturers not providing sustainable class routines (for example: Q&A sessions for online students)
5/9/2023 8:33:06,Year 3,Bachelor of computing,In person,TRUE,Teams,,Its well intergrated.,TRUE,"The system is messed up. For such a small scale system, the frequency of technical issues and the Campus's arrogance and pay-first then talk approach to make a simple adjustment is sadly pathetic. ","Everything. The campus should adopt a hybrid model with regulations to get students to attend as opposed to this terrible confused and unfair system, as its not unknown that online students perform better than in class students overall. Clearly there is a division, therefore seperation or inclusion should be considered.","Make it hybrid, bring back recordings. Make Belgium Campus a Hybrid Institution!"
5/9/2023 9:01:54,Year 3,Bachelor of computing,In person,FALSE,"Discord, Zoom",,User interface is simpler and hybeflex has plenty of bugs that other established platforms does not have or have resolved.,FALSE,"There are a few lecturers that engage with students if you have face-to-face classes. I appreciate the fact that BC encourages group work more than individual work, as this helps us grow as individuals and aids us with better communication and working well with other students",Some of the work content is not always available whether you are an online or a face-to-face student. Other half of the lecturers do not engage with the students and half of the module is sometimes self-study. A few lecturers make the current existing system of BC enjoyable while others do the complete opposite.,"If there are online classes we humbly request for better wifi, or invest in wifi extenders and engage more with students. "
